unitid,scugrad2010,scugffn2010,scugffp2010,fgrnt_p2010,fgrnt_a2010,sgrnt_p2010,sgrnt_a2010,scugrad2011,scugffn2011,scugffp2011,fgrnt_p2011,fgrnt_a2011,sgrnt_p2011,sgrnt_a2011,scugrad2012,scugffn2012,scugffp2012,fgrnt_p2012,fgrnt_a2012,sgrnt_p2012,sgrnt_a2012,scugrad2013,scugffn2013,scugffp2013,fgrnt_p2013,fgrnt_a2013,sgrnt_p2013,sgrnt_a2013,scugrad2014,scugffn2014,scugffp2014,fgrnt_p2014,fgrnt_a2014,sgrnt_p2014,sgrnt_a2014,scugrad2015,scugffn2015,scugffp2015,fgrnt_p2015,fgrnt_a2015,sgrnt_p2015,sgrnt_a2015
229416,3895,1958,50,69,4494.3604,0,5424.5,3336,1464,44,67,4346.3018,0,3681,2921,1363,47,66,4320.8594,0,0,2942,1442,49,66,4399.2422,0,0,2794,1101,39,64,4432.3408,0,0,2569,906,35,67,4641.3906,0,0
229425,699,93,13,96,4307.4941,3,1750,464,51,11,92,4359.7446,0,0,316,26,8,92,4307,0,0,299,19,6,89,3478.4707,5,3800,328,13,4,92,4018.3333,0,0,285,15,5,87,3726,0,0
229504,3167,217,7,55,5477.2085,39,1581.0941,3247,282,9,60,4590.6431,28,1483.8481,3118,263,8,50,4446.0684,22,1952.2413,3084,336,11,60,5004.5864,36,2086.575,2986,340,11,61,4828.0723,32,2348.7249,2892,299,10,52,5244.6646,26,2280.9746
229522,153,21,14,62,3125,62,153.84616,164,25,15,80,2825.1001,12,2000,177,74,42,65,3336.9375,0,0,158,110,70,75,3020.5784,0,0,141,25,18,52,2898.0769,0,0,222,80,36,100,4331.5,0,0
229540,4325,366,8,48,4605.0791,25,1610.3478,4603,601,13,55,4463.0059,19,1556.9911,4484,457,10,43,4378.3672,36,1499.0792,4408,416,9,49,4324.6079,31,2037.874,4146,346,8,40,4363.3311,15,2235.0588,4051,406,10,45,4146.3789,10,2330.4285
229638,136,43,32,100,1470.3489,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229656,,,,,,,,229,152,66,47,3445.2361,0,0,260,145,56,63,4342.3628,0,0,325,178,55,56,2687.8799,0,0,298,149,50,45,3153.2986,0,0,353,175,50,74,3650,1,9750
229780,4861,242,5,55,4528.0894,45,4013.6943,5061,354,7,79,2879.7195,40,3408.7375,5041,356,7,53,4240.3901,42,2898.6689,4515,315,7,49,4166.3638,41,3261.6924,3980,266,7,52,4345.5796,51,4559.6763,3821,266,7,52,4840.3696,45,3745.5378
229799,5676,908,16,54,4064.6084,19,1446.8765,5528,903,16,49,4181.332,21,1452.6085,5577,897,16,45,4149.0718,24,1489.9954,5694,859,15,51,4122.5903,17,1567.131,5613,771,14,47,4131.1528,15,1603,5483,829,15,41,4130.6753,16,1318.626
229814,6441,1227,19,38,4802.688,38,4694.1328,6498,1203,19,37,4411.3066,42,4039.3308,6543,1199,18,41,4233.3394,54,3994.7317,6906,1283,19,43,4245.3901,51,3885.3364,7133,1323,19,42,4616.6494,45,3973.0425,7278,1382,19,38,4307.6206,46,4264.9326
229832,2307,348,15,28,4191.7271,14,1713.92,2394,350,15,23,4247.8999,9,1564.7576,2469,279,11,25,5040.7246,10,1595.5555,2044,347,17,32,4785.2456,12,1480.25,2067,283,14,40,4886.1768,16,1857.5333,2124,268,13,20,3912.2964,7,2677.1052
229841,6922,1125,16,42,5241.3076,14,1572.9125,6998,1136,16,46,4580.271,17,1765.6632,7407,1131,15,44,4487.8345,16,1521.9106,7386,1162,16,41,4627.3872,17,1762.2113,7152,1165,16,41,4597.7866,21,1833.3442,7416,1195,16,36,4668.917,12,1698.5278
229887,1351,341,25,83,5051.8379,66,2341.0176,1358,312,23,98,5114.9316,45,2341.2856,1389,319,23,100,4077.696,64,1581.0586,1391,297,21,81,4557.4585,48,2817.0347,1351,239,18,81,4652.9126,44,2786.9614,1172,151,13,89,5049.6416,50,3649.7734
